id,total,w,b,o
250251304042,606,494,0,112
250251304043,501,374,23,104
250251304061,1941,255,1217,469
250251304062,2974,1116,1245,613
250251304063,375,274,26,75
250251401021,1206,114,681,411
250251401022,812,357,434,21
250251401023,928,637,166,125
250251401024,1833,727,767,339
250251401051,2133,915,346,872
250251401052,1958,220,1150,588
250251401061,1383,328,671,384
250251401062,443,62,232,149
250251401071,2088,628,1093,367
250251401072,810,261,278,271
250251402011,1409,433,276,700
250251402012,1011,701,180,130
250251402021,1057,439,158,460
250251402022,1258,243,437,578
250251402023,1307,513,466,328
250251402024,1483,647,513,323
250251402025,1005,731,181,93
250251403001,1349,211,677,461
250251403002,304,144,120,40
250251403003,2113,614,1038,461
250251403004,660,85,511,64
250251403005,1235,106,813,316
250251403006,682,66,428,188
250251404001,557,23,411,123
250251404002,1112,35,927,150
250251404003,1140,97,1043,0
250251404004,1289,151,997,141
250251404005,1927,9,1876,42
250251404006,1711,225,1227,259
250251404007,1012,255,293,464
250251601011,1558,100,58,1400
250251601012,2323,407,109,1807
250251601013,1619,385,36,1198
250251601014,2483,32,307,2144
250251601015,1408,152,0,1256
250251602001,1590,84,17,1489
250251602002,1388,124,84,1180
250251602003,1148,129,87,932
250251603001,1905,1305,154,446
250251603002,450,134,71,245
250251604001,995,192,36,767
250251604002,1843,333,268,1242
250251605011,1776,148,29,1599
250251605012,941,185,150,606
250251605013,847,88,66,693
250251605014,719,129,19,571
250251605015,781,288,40,453
250251605021,1573,743,47,783
250251605022,1578,517,58,1003
250251605023,1407,372,55,980
250251606011,2356,908,175,1273
250251606012,1915,691,253,971
250251606021,1444,671,74,699
250251606022,678,385,0,293
250251606023,548,290,80,178
250251606024,897,92,50,755
250251606025,914,336,59,519
250251701001,1246,1022,47,177
250251701002,1281,537,158,586
250251701003,554,221,77,256
250251701004,894,607,108,179
250251701005,1581,877,0,704
250251701006,797,624,18,155
250251701007,1688,779,0,909
250251702001,1067,860,10,197
250251702002,1553,772,183,598
250251702003,543,440,50,53
250251702004,1384,1023,140,221
250251703001,2244,1061,112,1071
250251703002,777,523,163,91
250251703003,986,923,50,13
250251703004,1696,1506,28,162
250251703005,1751,1525,35,191
250251703006,1212,913,24,275
250251703007,430,191,0,239
250251704001,1037,646,127,264
250251704002,1099,744,69,286
250251704003,911,487,3,421
250251704004,2450,1723,40,687
250251705011,2113,1158,88,867
250251705012,1457,984,29,444
250251705021,1362,1100,0,262
250251705022,1699,1204,39,456
250251706011,1348,857,24,467
250251706012,1901,907,0,994
250251706013,1354,1069,83,202
250251706014,1202,754,39,409
250251707011,735,563,19,153
250251707012,1380,843,72,465
250251707021,768,612,58,98
250251707022,1643,614,221,808
250251707023,1297,401,302,594
250251707024,1112,222,144,746
250251707025,1576,307,0,1269
250251708001,1477,614,54,809
250251708002,793,652,69,72
250251708003,914,502,70,342
250251708004,1946,1327,0,619
250251801011,1585,870,0,715
250251801012,929,882,13,34
250251801013,2345,2120,99,126
250251802001,964,798,35,131
250251802002,828,732,0,96
250251802003,769,649,11,109
250251802004,1387,1289,0,98
250251803011,654,632,5,17
250251803012,995,882,0,113
250251803013,836,820,3,13
250251803014,790,713,0,77
250251804001,835,813,18,4
250251804002,1109,953,0,156
250251805001,1159,1032,0,127
250251805002,496,496,0,0
250251805003,1282,1098,88,96
250251805004,1029,966,32,31
250259801011,335,184,98,53
250259803001,360,105,153,102
250259807001,10,10,0,0
250259810001,0,0,0,0
250259811001,0,0,0,0
250259811002,0,0,0,0
250259811003,13,8,5,0
250259811004,463,49,290,124
250259812011,0,0,0,0
250259812021,147,92,16,39
250259813001,0,0,0,0
250259813002,480,246,38,196
250259815011,0,0,0,0
250259815021,0,0,0,0
250259816001,0,0,0,0
250259817001,0,0,0,0
250259818001,20,20,0,0
250259901010,0,0,0,0
